Player,Team,Season,Off Poss,Misses,Team REB% off Own Misses,Team REB% off Teammate Misses,Team PPP on Own Misses,TeamPPP on Teammate Misses,PPP Gap,Reb% Gap,POE by Second Chance Effeciency,POE by Rebound%,POE by Both,POE by SC Eff Per 100,POE by Reb% Per 100,POE by Both per 100
Matt Barnes,Los Angeles Clippers,2015,4452,347,0.311,0.253,1.343,1.202,0.141,5.80%,15.227,26.973,39.37,0.342,0.606,0.884
Matt Bonner,San Antonio Spurs,2015,1800,136,0.272,0.258,1.294,1.163,0.131,1.40%,4.863,2.403,7.022,0.27,0.134,0.39
Matthew Dellavedova,Cleveland Cavaliers,2015,2579,196,0.301,0.308,1.125,1.093,0.032,-0.70%,1.91,-1.614,0.343,0.074,-0.063,0.013
Maurice Harkless,Orlando Magic,2015,1315,95,0.305,0.26,1.038,1.165,-0.127,4.50%,-3.683,4.505,1.373,-0.28,0.343,0.104
Meyers Leonard,Portland Trail Blazers,2015,1640,120,0.167,0.271,1.059,1.218,-0.159,-10.40%,-3.175,-13.211,-18.368,-0.194,-0.806,-1.12
Michael Beasley,Miami Heat,2015,974,120,0.183,0.274,1.143,1.175,-0.032,-9.10%,-0.705,-12.432,-13.486,-0.072,-1.276,-1.385
Michael Carter-Williams,Milwaukee Bucks,2015,1478,176,0.324,0.276,1.13,1.105,0.025,4.80%,1.428,9.511,10.728,0.097,0.643,0.726
Michael Carter-Williams,Philadelphia 76ers,2015,2739,379,0.264,0.288,1.011,1.116,-0.105,-2.40%,-10.491,-9.222,-20.669,-0.383,-0.337,-0.755
Michael Kidd-Gilchrist,Charlotte Hornets,2015,3028,258,0.318,0.254,0.884,1.124,-0.24,6.40%,-19.665,14.592,-1.115,-0.649,0.482,-0.037
Mike Conley,Memphis Grizzlies,2015,4145,489,0.303,0.275,1.174,1.176,-0.002,2.80%,-0.26,16.053,15.817,-0.006,0.387,0.382
Mike Dunleavy,Chicago Bulls,2015,3501,272,0.276,0.302,1.125,1.157,-0.032,-2.60%,-2.434,-8.102,-10.77,-0.07,-0.231,-0.308
Mike Miller,Cleveland Cavaliers,2015,1338,77,0.26,0.309,0.765,1.093,-0.328,-4.90%,-6.559,-2.9,-10.702,-0.49,-0.217,-0.8
Mike Muscala,Atlanta Hawks,2015,961,68,0.353,0.252,1.059,1.156,-0.097,10.10%,-2.338,7.299,5.632,-0.243,0.76,0.586
Mike Scott,Atlanta Hawks,2015,2132,252,0.19,0.258,1,1.156,-0.156,-6.80%,-7.5,-17.084,-27.253,-0.352,-0.801,-1.278
Miles Plumlee,Milwaukee Bucks,2015,367,30,0.3,0.278,1.75,1.105,0.645,2.20%,5.802,1.145,6.525,1.581,0.312,1.778
Miles Plumlee,Phoenix Suns,2015,1960,88,0.227,0.266,1.2,1.138,0.062,-3.90%,1.246,-4.044,-2.588,0.064,-0.206,-0.132
Mirza Teletovic,Brooklyn Nets,2015,1708,197,0.259,0.267,0.778,1.127,-0.349,-0.80%,-17.79,-1.259,-19.613,-1.042,-0.074,-1.148
Mitch McGary,Oklahoma City Thunder,2015,990,77,0.338,0.307,1.227,1.157,0.07,3.10%,1.817,2.932,4.582,0.184,0.296,0.463
Mo Williams,Minnesota Timberwolves,2015,2235,267,0.277,0.301,1.254,1.147,0.107,-2.40%,7.931,-7.893,0.713,0.355,-0.353,0.032
Mo Williams,Charlotte Hornets,2015,1619,252,0.234,0.26,1.32,1.124,0.196,-2.60%,11.571,-8.458,4.37,0.715,-0.522,0.27
Monta Ellis,Dallas Mavericks,2015,5396,752,0.25,0.264,1.23,1.225,0.005,-1.40%,1.025,-13.363,-12.279,0.019,-0.248,-0.228
Nate Robinson,Denver Nuggets,2015,907,133,0.286,0.293,1.212,1.119,0.093,-0.70%,3.529,-1.244,2.381,0.389,-0.137,0.262
Nate Robinson,Los Angeles Clippers,2015,241,34,0.235,0.259,1,1.202,-0.202,-2.40%,-1.62,-0.812,-2.596,-0.672,-0.337,-1.077
Nate Wolters,New Orleans Pelicans,2015,195,18,0.444,0.303,1.143,1.116,0.027,14.10%,0.215,2.915,3.062,0.11,1.495,1.57
Nate Wolters,Milwaukee Bucks,2015,275,19,0.211,0.279,0,1.105,-1.105,-6.80%,-4.422,0,-5.854,-1.608,0,-2.129
Nazr Mohammed,Chicago Bulls,2015,242,17,0.235,0.301,1.75,1.157,0.593,-6.60%,2.37,-1.943,1.085,0.979,-0.803,0.448
Nene,Washington Wizards,2015,3283,294,0.293,0.276,0.821,1.077,-0.256,1.70%,-22.074,3.951,-16.887,-0.672,0.12,-0.514
Nerlens Noel,Philadelphia 76ers,2015,4541,351,0.285,0.286,1.038,1.116,-0.078,-0.10%,-7.852,-0.296,-8.171,-0.173,-0.007,-0.18
Nick Calathes,Memphis Grizzlies,2015,1601,143,0.301,0.278,1.308,1.176,0.132,2.30%,5.663,4.333,9.56,0.354,0.271,0.597
Nick Collison,Oklahoma City Thunder,2015,2156,147,0.293,0.308,0.861,1.157,-0.296,-1.50%,-12.74,-1.936,-15.342,-0.591,-0.09,-0.712
Nick Johnson,Houston Rockets,2015,532,49,0.265,0.298,1,1.127,-0.127,-3.30%,-1.647,-1.605,-3.455,-0.31,-0.302,-0.649
Nick Young,Los Angeles Lakers,2015,1961,302,0.242,0.285,0.932,1.182,-0.25,-4.30%,-18.208,-12.242,-33.726,-0.929,-0.624,-1.72
Nicolas Batum,Portland Trail Blazers,2015,4645,360,0.275,0.267,1.185,1.218,-0.033,0.80%,-3.208,3.564,0.453,-0.069,0.077,0.01
Nik Stauskas,Sacramento Kings,2015,2215,188,0.319,0.3,1.435,1.206,0.229,1.90%,13.736,5.063,17.991,0.62,0.229,0.812
Nikola Mirotic,Chicago Bulls,2015,3148,371,0.264,0.304,1.265,1.157,0.108,-4.00%,10.545,-18.812,-6.667,0.335,-0.598,-0.212
Nikola Pekovic,Minnesota Timberwolves,2015,1572,189,0.238,0.302,1.054,1.147,-0.093,-6.40%,-4.173,-12.78,-18.078,-0.265,-0.813,-1.15
Nikola Vučević,Orlando Magic,2015,4929,575,0.231,0.266,1.218,1.165,0.053,-3.50%,7.011,-24.413,-16.345,0.142,-0.495,-0.332
Noah Vonleh,Charlotte Hornets,2015,491,46,0.217,0.258,1.286,1.124,0.162,-4.10%,1.618,-2.427,-0.503,0.33,-0.494,-0.102
Norris Cole,New Orleans Pelicans,2015,1263,140,0.207,0.307,1.32,1.116,0.204,-10.00%,5.916,-18.493,-9.72,0.468,-1.464,-0.77
Norris Cole,Miami Heat,2015,2100,188,0.335,0.267,0.949,1.175,-0.226,6.80%,-14.223,12.132,0.795,-0.677,0.578,0.038
O.J. Mayo,Milwaukee Bucks,2015,3339,405,0.22,0.286,1.169,1.105,0.064,-6.60%,5.647,-31.224,-23.883,0.169,-0.935,-0.715
Ognjen Kuzmic,Golden State Warriors,2015,147,4,0.25,0.264,0,1.165,-1.165,-1.40%,-1.165,0,-1.231,-0.793,0,-0.838
Omer Asik,New Orleans Pelicans,2015,3714,199,0.307,0.303,1.07,1.116,-0.046,0.40%,-2.796,0.701,-2.065,-0.075,0.019,-0.056
Omri Casspi,Sacramento Kings,2015,2804,218,0.307,0.301,1.186,1.206,-0.02,0.60%,-1.3,1.646,0.373,-0.046,0.059,0.013
Otto Porter Jr.,Washington Wizards,2015,2684,215,0.274,0.278,1,1.077,-0.077,-0.40%,-4.554,-0.694,-5.302,-0.17,-0.026,-0.198
P.J. Tucker,Phoenix Suns,2015,4719,335,0.299,0.261,1.26,1.138,0.122,3.80%,12.258,15.63,26.368,0.26,0.331,0.559
PJ Hairston,Charlotte Hornets,2015,1326,182,0.286,0.257,1.089,1.124,-0.035,2.90%,-1.819,5.761,4.127,-0.137,0.434,0.311
Pablo Prigioni,Houston Rockets,2015,820,44,0.182,0.299,1.167,1.127,0.04,-11.70%,0.32,-6.015,-5.489,0.039,-0.734,-0.669
Pablo Prigioni,New York Knicks,2015,1477,93,0.215,0.275,0.895,1.102,-0.207,-6.00%,-4.15,-4.948,-10.246,-0.281,-0.335,-0.694
Patrick Beverley,Houston Rockets,2015,3355,328,0.305,0.297,1.035,1.127,-0.092,0.80%,-9.182,2.692,-6.251,-0.274,0.08,-0.186
Patrick Christopher,Utah Jazz,2015,54,9,0.222,0.323,0.5,1.211,-0.711,-10.10%,-1.423,-0.452,-2.517,-2.634,-0.837,-4.661
Patrick Patterson,Toronto Raptors,2015,4123,295,0.278,0.285,1.397,1.221,0.176,-0.70%,14.442,-3.022,11.801,0.35,-0.073,0.286
Patty Mills,San Antonio Spurs,2015,1590,208,0.255,0.259,1.167,1.163,0.004,-0.40%,0.211,-1.057,-0.842,0.013,-0.066,-0.053
Pau Gasol,Chicago Bulls,2015,5192,583,0.249,0.31,1.2,1.157,0.043,-6.10%,6.169,-42.652,-34.971,0.119,-0.821,-0.674
Paul George,Indiana Pacers,2015,175,31,0.323,0.272,1.75,1.181,0.569,5.10%,5.689,2.762,7.553,3.251,1.578,4.316
Paul Millsap,Atlanta Hawks,2015,4671,487,0.265,0.252,1.204,1.156,0.048,1.30%,6.122,7.731,13.548,0.131,0.166,0.29
Paul Pierce,Washington Wizards,2015,3693,363,0.251,0.28,1.282,1.077,0.205,-2.90%,18.643,-13.834,7.02,0.505,-0.375,0.19
Pero Antic,Atlanta Hawks,2015,2036,188,0.229,0.255,0.968,1.156,-0.188,-2.60%,-8.106,-4.756,-13.789,-0.398,-0.234,-0.677
Perry Jones III,Oklahoma City Thunder,2015,1241,111,0.297,0.308,1.167,1.157,0.01,-1.10%,0.306,-1.325,-1.008,0.025,-0.107,-0.081
Phil Pressey,Boston Celtics,2015,1180,110,0.245,0.278,1.037,1.172,-0.135,-3.30%,-3.645,-3.671,-7.794,-0.309,-0.311,-0.661
Quincy Acy,New York Knicks,2015,2423,179,0.296,0.272,0.957,1.102,-0.145,2.40%,-7.723,4.132,-2.962,-0.319,0.171,-0.122
Quincy Miller,Sacramento Kings,2015,133,14,0.429,0.301,1.8,1.206,0.594,12.80%,3.565,3.218,5.721,2.68,2.42,4.301
Quincy Miller,Detroit Pistons,2015,110,15,0.2,0.308,0,1.149,-1.149,-10.80%,-3.448,0,-5.319,-3.135,0,-4.835
Quincy Pondexter,New Orleans Pelicans,2015,2358,172,0.326,0.302,1.062,1.116,-0.054,2.40%,-2.997,4.249,1.466,-0.127,0.18,0.062
Quincy Pondexter,Memphis Grizzlies,2015,986,87,0.322,0.277,0.87,1.176,-0.306,4.50%,-8.58,3.364,-4.031,-0.87,0.341,-0.409
Rajon Rondo,Boston Celtics,2015,1383,119,0.252,0.278,0.846,1.172,-0.326,-2.60%,-9.777,-2.558,-13.321,-0.707,-0.185,-0.963
Rajon Rondo,Dallas Mavericks,2015,2631,251,0.271,0.261,1.193,1.225,-0.032,1.00%,-2.167,2.997,0.91,-0.082,0.114,0.035
Ramon Sessions,Sacramento Kings,2015,1221,120,0.333,0.3,0.811,1.206,-0.395,3.30%,-15.802,3.218,-11.016,-1.294,0.264,-0.902
Ramon Sessions,Washington Wizards,2015,1042,89,0.27,0.278,1,1.077,-0.077,-0.80%,-1.852,-0.711,-2.618,-0.178,-0.068,-0.251
Randy Foye,Denver Nuggets,2015,2183,254,0.248,0.296,0.983,1.119,-0.136,-4.80%,-8.599,-12.021,-22.29,-0.394,-0.551,-1.021
Rasual Butler,Washington Wizards,2015,2835,299,0.324,0.273,1.138,1.077,0.061,5.10%,5.851,17.395,22.323,0.206,0.614,0.787
Ray McCallum,Sacramento Kings,2015,2849,264,0.341,0.298,1.256,1.206,0.05,4.30%,4.55,14.155,18.135,0.16,0.497,0.637
Raymond Felton,Dallas Mavericks,2015,560,63,0.27,0.261,1,1.225,-0.225,0.90%,-3.822,0.53,-3.173,-0.683,0.095,-0.567
Reggie Bullock Jr.,Los Angeles Clippers,2015,496,31,0.161,0.26,0.8,1.202,-0.402,-9.90%,-2.012,-2.443,-5.684,-0.406,-0.493,-1.146
Reggie Bullock Jr.,Phoenix Suns,2015,148,15,0.267,0.265,1,1.138,-0.138,0.20%,-0.551,0.03,-0.517,-0.372,0.02,-0.349
Reggie Evans,Sacramento Kings,2015,1440,79,0.304,0.301,0.833,1.206,-0.373,0.30%,-8.94,0.164,-8.703,-0.621,0.011,-0.604
Reggie Jackson,Oklahoma City Thunder,2015,2706,327,0.324,0.306,1.219,1.157,0.062,1.80%,6.505,7.353,13.488,0.24,0.272,0.498
Reggie Jackson,Detroit Pistons,2015,1664,237,0.342,0.306,1.279,1.149,0.13,3.60%,10.53,10.861,20.287,0.633,0.653,1.219
Reggie Williams,San Antonio Spurs,2015,199,24,0.25,0.259,1.2,1.163,0.037,-0.90%,0.224,-0.258,-0.026,0.113,-0.13,-0.013
Richard Jefferson,Dallas Mavericks,2015,2462,180,0.267,0.261,1.167,1.225,-0.058,0.60%,-2.793,1.124,-1.613,-0.113,0.046,-0.066
Ricky Ledo,Dallas Mavericks,2015,24,6,0.333,0.261,1,1.225,-0.225,7.20%,-0.45,0.431,0.079,-1.874,1.797,0.327
Ricky Ledo,New York Knicks,2015,449,58,0.379,0.271,1.125,1.102,0.023,10.80%,0.501,7.038,7.396,0.111,1.567,1.647
Ricky Rubio,Minnesota Timberwolves,2015,1364,141,0.333,0.298,1.19,1.147,0.043,3.50%,2.053,5.968,7.802,0.151,0.438,0.572
Robbie Hummel,Minnesota Timberwolves,2015,1438,93,0.344,0.298,1.679,1.147,0.532,4.60%,17.017,7.199,21.935,1.183,0.501,1.525
Robert Covington,Philadelphia 76ers,2015,3843,457,0.304,0.283,1.252,1.116,0.136,2.10%,18.906,11.955,29.563,0.492,0.311,0.769
Robert Sacre,Los Angeles Lakers,2015,2185,180,0.222,0.285,1.162,1.182,-0.02,-6.30%,-0.779,-13.077,-14.074,-0.036,-0.598,-0.644
Robin Lopez,Portland Trail Blazers,2015,3145,203,0.296,0.266,1.1,1.218,-0.118,3.00%,-7.055,6.632,0.285,-0.224,0.211,0.009
Rodney Hood,Utah Jazz,2015,1974,219,0.338,0.321,1.25,1.211,0.039,1.70%,2.866,4.523,7.249,0.145,0.229,0.367
Rodney Stuckey,Indiana Pacers,2015,3611,422,0.318,0.266,1.203,1.181,0.022,5.20%,2.985,25.942,28.447,0.083,0.718,0.788
Ronnie Price,Los Angeles Lakers,2015,1913,146,0.267,0.282,1.257,1.182,0.075,-1.50%,2.945,-2.815,0.299,0.154,-0.147,0.016
Roy Hibbert,Indiana Pacers,2015,3642,393,0.249,0.275,1.209,1.181,0.028,-2.60%,2.763,-12.035,-8.992,0.076,-0.33,-0.247
Rudy Gay,Sacramento Kings,2015,4766,608,0.303,0.301,1.31,1.206,0.104,0.20%,19.104,1.219,20.227,0.401,0.026,0.424
Rudy Gobert,Utah Jazz,2015,4005,169,0.396,0.319,1.262,1.211,0.051,7.70%,3.419,16.581,19.329,0.085,0.414,0.483
Russ Smith,New Orleans Pelicans,2015,60,8,0.25,0.304,1,1.116,-0.116,-5.40%,-0.232,-0.428,-0.71,-0.387,-0.714,-1.183
Russ Smith,Memphis Grizzlies,2015,77,9,0.556,0.278,1,1.176,-0.176,27.80%,-0.88,2.5,2.06,-1.143,3.247,2.676
Russell Westbrook,Oklahoma City Thunder,2015,4682,844,0.293,0.311,1.148,1.157,-0.009,-1.80%,-2.411,-17.989,-20.553,-0.051,-0.384,-0.439
Ryan Anderson,New Orleans Pelicans,2015,3192,438,0.235,0.313,0.979,1.116,-0.137,-7.80%,-14.118,-33.211,-51.98,-0.442,-1.04,-1.628
Ryan Hollins,Sacramento Kings,2015,873,29,0.31,0.301,1.375,1.206,0.169,0.90%,1.522,0.361,1.839,0.174,0.041,0.211
Ryan Kelly,Los Angeles Lakers,2015,2345,205,0.298,0.281,0.889,1.182,-0.293,1.70%,-17.857,3.01,-13.856,-0.761,0.128,-0.591
Samuel Dalembert,New York Knicks,2015,1000,73,0.219,0.274,0.929,1.102,-0.173,-5.50%,-2.779,-3.725,-7.2,-0.278,-0.372,-0.72
Sean Kilpatrick,Minnesota Timberwolves,2015,144,13,0.231,0.299,0,1.147,-1.147,-6.80%,-3.44,0,-4.462,-2.389,0,-3.099
Sebastian Telfair,Oklahoma City Thunder,2015,613,79,0.177,0.31,0.615,1.157,-0.542,-13.30%,-7.588,-6.451,-19.72,-1.238,-1.052,-3.217
Serge Ibaka,Oklahoma City Thunder,2015,4166,412,0.262,0.313,1.221,1.157,0.064,-5.10%,6.863,-25.343,-17.161,0.165,-0.608,-0.412
Sergey Karasev,Brooklyn Nets,2015,1077,80,0.288,0.266,1.211,1.127,0.084,2.20%,1.93,2.062,3.849,0.179,0.191,0.357
Shabazz Muhammad,Minnesota Timberwolves,2015,1705,203,0.36,0.296,1.175,1.147,0.028,6.40%,2.03,15.237,16.906,0.119,0.894,0.992
Shabazz Napier,Miami Heat,2015,1853,141,0.27,0.271,1.344,1.175,0.169,-0.10%,6.416,-0.262,6.187,0.346,-0.014,0.334
Shane Larkin,New York Knicks,2015,3483,245,0.273,0.273,0.949,1.102,-0.153,0.00%,-10.257,0.096,-10.146,-0.294,0.003,-0.291
Shannon Brown,Miami Heat,2015,164,12,0.083,0.271,0,1.175,-1.175,-18.80%,-1.175,0,-3.828,-0.716,0,-2.334
Shaun Livingston,Golden State Warriors,2015,2886,198,0.323,0.261,1.145,1.165,-0.02,6.20%,-1.258,14.135,13.12,-0.044,0.49,0.455
Shavlik Randolph,Boston Celtics,2015,48,7,0.286,0.277,1,1.172,-0.172,0.90%,-0.344,0.063,-0.27,-0.717,0.131,-0.563
Shavlik Randolph,Phoenix Suns,2015,205,19,0.211,0.265,1.5,1.138,0.362,-5.40%,1.449,-1.552,0.272,0.707,-0.757,0.133
Shawn Marion,Cleveland Cavaliers,2015,2083,148,0.331,0.307,1.293,1.093,0.2,2.40%,9.803,4.613,13.702,0.471,0.221,0.658
Shawne Williams,Miami Heat,2015,1694,138,0.254,0.272,1.333,1.175,0.158,-1.80%,5.545,-3.298,2.639,0.327,-0.195,0.156
Shawne Williams,Detroit Pistons,2015,311,41,0.244,0.309,1.714,1.149,0.565,-6.50%,5.649,-4.557,2.593,1.816,-1.465,0.834
Shayne Whittington,Indiana Pacers,2015,206,23,0.174,0.273,1,1.181,-0.181,-9.90%,-0.724,-2.272,-3.407,-0.352,-1.103,-1.654
Shelvin Mack,Atlanta Hawks,2015,1600,175,0.28,0.252,0.932,1.156,-0.224,2.80%,-10.997,4.545,-5.358,-0.687,0.284,-0.335
Solomon Hill,Indiana Pacers,2015,4528,383,0.313,0.267,1.112,1.181,-0.069,4.60%,-8.275,19.516,12.45,-0.183,0.431,0.275
Spencer Dinwiddie,Detroit Pistons,2015,856,118,0.314,0.308,0.812,1.149,-0.337,0.60%,-12.466,0.542,-11.7,-1.456,0.063,-1.367
Spencer Hawes,Los Angeles Clippers,2015,2454,252,0.19,0.264,1.27,1.202,0.068,-7.40%,3.256,-23.568,-19.053,0.133,-0.96,-0.776
Stephen Curry,Golden State Warriors,2015,5403,688,0.243,0.269,1.296,1.165,0.131,-2.60%,21.82,-23.488,0.701,0.404,-0.435,0.013
Steve Blake,Portland Trail Blazers,2015,2956,205,0.254,0.268,1.044,1.218,-0.174,-1.40%,-9.003,-3.112,-12.631,-0.305,-0.105,-0.427
Steve Novak,Oklahoma City Thunder,2015,179,15,0.2,0.308,0,1.157,-1.157,-10.80%,-3.472,0,-5.341,-1.94,0,-2.984
Steve Novak,Utah Jazz,2015,218,19,0.316,0.322,2,1.211,0.789,-0.60%,4.732,-0.252,4.58,2.171,-0.116,2.101
Steven Adams,Oklahoma City Thunder,2015,3479,182,0.363,0.305,1.055,1.157,-0.102,5.80%,-6.787,11.147,5.447,-0.195,0.32,0.157
T.J. Warren,Phoenix Suns,2015,1207,101,0.257,0.265,1.28,1.138,0.142,-0.80%,3.7,-0.965,2.842,0.307,-0.08,0.235
Taj Gibson,Chicago Bulls,2015,3189,252,0.365,0.296,1.103,1.157,-0.054,6.90%,-5.05,19.274,15.183,-0.158,0.604,0.476
Tarik Black,Houston Rockets,2015,752,38,0.395,0.297,0.778,1.127,-0.349,9.80%,-5.234,2.899,-1.034,-0.696,0.386,-0.138
Tarik Black,Los Angeles Lakers,2015,1516,78,0.372,0.28,1.308,1.182,0.126,9.20%,3.656,9.354,12.108,0.241,0.617,0.799
Tayshaun Prince,Boston Celtics,2015,381,26,0.308,0.277,0.833,1.172,-0.339,3.10%,-2.71,0.675,-1.761,-0.711,0.177,-0.462
Tayshaun Prince,Memphis Grizzlies,2015,1111,108,0.287,0.278,1.038,1.176,-0.138,0.90%,-4.264,0.995,-3.137,-0.384,0.09,-0.282
Tayshaun Prince,Detroit Pistons,2015,1071,91,0.319,0.308,0.957,1.149,-0.192,1.10%,-5.594,0.945,-4.459,-0.522,0.088,-0.416
Terrence Jones,Houston Rockets,2015,1770,141,0.255,0.299,1.37,1.127,0.243,-4.40%,8.772,-8.491,1.791,0.496,-0.48,0.101
Terrence Ross,Toronto Raptors,2015,3964,444,0.275,0.286,1.255,1.221,0.034,-1.10%,4.12,-6.289,-2,0.104,-0.159,-0.05
Thabo Sefolosha,Atlanta Hawks,2015,1857,145,0.331,0.25,1.075,1.156,-0.081,8.10%,-3.9,12.597,9.649,-0.21,0.678,0.52
Thaddeus Young,Minnesota Timberwolves,2015,3118,352,0.335,0.295,1.101,1.147,-0.046,4.00%,-5.402,15.422,10.661,-0.173,0.495,0.342
Thaddeus Young,Brooklyn Nets,2015,1595,165,0.267,0.267,1.462,1.127,0.335,0.00%,14.737,0,14.737,0.924,0,0.924
Thomas Robinson,Philadelphia 76ers,2015,817,90,0.311,0.285,0.913,1.116,-0.203,2.60%,-5.683,2.141,-3.066,-0.696,0.262,-0.375
Thomas Robinson,Portland Trail Blazers,2015,768,44,0.205,0.268,1.222,1.218,0.004,-6.30%,0.042,-3.42,-3.366,0.005,-0.445,-0.438
Tiago Splitter,San Antonio Spurs,2015,1999,134,0.351,0.255,1.467,1.163,0.304,9.60%,14.287,18.737,29.141,0.715,0.937,1.458
Tim Duncan,San Antonio Spurs,2015,4320,400,0.24,0.261,0.93,1.163,-0.233,-2.10%,-22.315,-7.905,-32.195,-0.517,-0.183,-0.745
Tim Frazier,Philadelphia 76ers,2015,344,30,0.2,0.286,1,1.116,-0.116,-8.60%,-0.696,-2.589,-3.585,-0.202,-0.753,-1.042
Tim Frazier,Portland Trail Blazers,2015,136,10,0.2,0.268,1.5,1.218,0.282,-6.80%,0.565,-1.014,-0.258,0.415,-0.746,-0.19
Tim Hardaway Jr.,New York Knicks,2015,3183,438,0.306,0.269,0.939,1.102,-0.163,3.70%,-21.858,15.252,-3.957,-0.687,0.479,-0.124
Timofey Mozgov,Cleveland Cavaliers,2015,2235,137,0.343,0.307,1.095,1.093,0.002,3.60%,0.123,5.475,5.585,0.005,0.245,0.25
Timofey Mozgov,Denver Nuggets,2015,1745,115,0.278,0.294,1.24,1.119,0.121,-1.60%,3.864,-2.189,1.888,0.221,-0.125,0.108
Tobias Harris,Orlando Magic,2015,4576,507,0.25,0.262,1.147,1.165,-0.018,-1.20%,-2.372,-6.915,-9.4,-0.052,-0.151,-0.205
Toney Douglas,New Orleans Pelicans,2015,320,32,0.312,0.303,1.222,1.116,0.106,0.90%,1.062,0.358,1.389,0.332,0.112,0.434
Tony Allen,Memphis Grizzlies,2015,3107,230,0.404,0.27,1.347,1.176,0.171,13.40%,15.924,41.628,52.261,0.513,1.34,1.682
Tony Parker,San Antonio Spurs,2015,3771,428,0.231,0.263,1.062,1.163,-0.101,-3.20%,-9.994,-14.213,-25.558,-0.265,-0.377,-0.678
Tony Snell,Chicago Bulls,2015,2694,212,0.302,0.3,0.965,1.157,-0.192,0.20%,-12.323,0.34,-11.915,-0.457,0.013,-0.442
Tony Wroten,Philadelphia 76ers,2015,1774,259,0.34,0.282,1.141,1.116,0.025,5.80%,2.185,17.097,18.909,0.123,0.964,1.066
Travis Wear,New York Knicks,2015,1253,125,0.232,0.274,1.034,1.102,-0.068,-4.20%,-1.965,-5.491,-7.816,-0.157,-0.438,-0.624
Trevor Ariza,Houston Rockets,2015,5723,544,0.298,0.298,1.1,1.127,-0.027,0.00%,-4.326,0.114,-4.209,-0.076,0.002,-0.074
Trevor Booker,Utah Jazz,2015,2892,238,0.294,0.324,1.177,1.211,-0.034,-3.00%,-2.369,-8.483,-11.096,-0.082,-0.293,-0.384
Trey Burke,Utah Jazz,2015,4275,635,0.339,0.319,1.177,1.211,-0.034,2.00%,-7.411,14.705,7.724,-0.173,0.344,0.181
Tristan Thompson,Cleveland Cavaliers,2015,4124,221,0.299,0.309,1.167,1.093,0.074,-1.00%,4.886,-2.553,2.495,0.118,-0.062,0.061
Troy Daniels,Houston Rockets,2015,218,32,0.25,0.298,0.857,1.127,-0.27,-4.80%,-2.156,-1.318,-3.888,-0.989,-0.604,-1.784
Troy Daniels,Minnesota Timberwolves,2015,299,40,0.45,0.297,1,1.147,-0.147,15.30%,-2.642,6.1,4.353,-0.884,2.04,1.456
Troy Daniels,Charlotte Hornets,2015,261,32,0.281,0.258,0.5,1.124,-0.624,2.30%,-5.615,0.376,-4.771,-2.151,0.144,-1.828
Ty Lawson,Denver Nuggets,2015,5368,522,0.318,0.29,1.317,1.119,0.198,2.80%,32.75,19.584,49.399,0.61,0.365,0.92
Tyler Ennis,Milwaukee Bucks,2015,688,80,0.312,0.278,1.182,1.105,0.077,3.40%,1.911,3.299,4.996,0.278,0.48,0.726
Tyler Ennis,Phoenix Suns,2015,119,12,0.167,0.265,1,1.138,-0.138,-9.80%,-0.275,-1.18,-1.618,-0.231,-0.992,-1.36
Tyler Hansbrough,Toronto Raptors,2015,1990,79,0.329,0.284,0.952,1.221,-0.269,4.50%,-6.988,3.413,-2.612,-0.351,0.171,-0.131
Tyler Johnson,Miami Heat,2015,1178,97,0.237,0.272,1.048,1.175,-0.127,-3.50%,-2.928,-3.525,-6.881,-0.249,-0.299,-0.584
Tyler Zeller,Boston Celtics,2015,3390,279,0.283,0.276,1.281,1.172,0.109,0.70%,8.626,2.458,10.875,0.254,0.073,0.321
Tyreke Evans,New Orleans Pelicans,2015,5098,644,0.38,0.287,1.194,1.116,0.078,9.30%,19.183,71.77,86.248,0.376,1.408,1.692
Tyson Chandler,Dallas Mavericks,2015,4497,147,0.354,0.258,1.366,1.225,0.141,9.60%,7.332,19.255,24.599,0.163,0.428,0.547
Udonis Haslem,Miami Heat,2015,1841,132,0.318,0.269,1.135,1.175,-0.04,4.90%,-1.671,7.378,5.966,-0.091,0.401,0.324
Vander Blue,Los Angeles Lakers,2015,147,21,0.429,0.281,1,1.182,-0.182,14.80%,-1.635,3.097,2.024,-1.112,2.107,1.377
Victor Oladipo,Orlando Magic,2015,5000,613,0.299,0.253,1.263,1.165,0.098,4.60%,17.935,35.03,50.248,0.359,0.701,1.005
Vince Carter,Memphis Grizzlies,2015,2055,271,0.196,0.285,1.391,1.176,0.215,-8.90%,11.411,-33.734,-17.102,0.555,-1.642,-0.832
Wayne Ellington,Los Angeles Lakers,2015,3242,363,0.3,0.28,1.152,1.182,-0.03,2.00%,-3.282,8.457,5.395,-0.101,0.261,0.166
Wesley Johnson,Los Angeles Lakers,2015,4397,405,0.227,0.288,1.28,1.182,0.098,-6.10%,9.05,-31.602,-20.123,0.206,-0.719,-0.458
Wesley Matthews,Portland Trail Blazers,2015,3950,415,0.265,0.268,1.253,1.218,0.035,-0.30%,3.868,-1.376,2.53,0.098,-0.035,0.064
Will Barton,Denver Nuggets,2015,1357,141,0.319,0.292,1.095,1.119,-0.024,2.70%,-1.081,4.155,3.166,-0.08,0.306,0.233
Will Barton,Portland Trail Blazers,2015,578,62,0.242,0.268,1.071,1.218,-0.147,-2.60%,-2.192,-1.721,-4.148,-0.379,-0.298,-0.718
